Freight,CustomerID,ShipVia
1.51,GROSR,3
66.29,GROSR,3
58.17,HANAR,2
62.74,HANAR,3
12.41,HANAR,1
6.27,HANAR,2
67.26,HANAR,1
65.83,HANAR,2
2.27,HANAR,1
5.32,HANAR,3
124.98,HANAR,2
193.37,HANAR,2
68.65,HANAR,1
36.71,HANAR,3
4.99,HANAR,1
15.8,HANAR,1
29.75,HILAA,2
179.61,HILAA,2
30.53,HILAA,2
58.3,HILAA,1
8.11,HILAA,2
37.97,HILAA,1
120.92,HILAA,2
210.19,HILAA,2
83.22,HILAA,1
26.52,HILAA,1
4.41,HILAA,3
62.09,HILAA,1
2.08,HILAA,1
184.41,HILAA,1
3.52,HILAA,2
81.91,HILAA,3
30.26,HILAA,2
105.36,HILAA,3
30.34,HUNGC,3
45.13,HUNGC,1
20.12,HUNGC,2
111.29,HUNGC,1
0.2,HUNGC,1
142.33,HUNGO,3
33.97,HUNGO,1
56.63,HUNGO,2
44.1,HUNGO,2
16.74,HUNGO,2
89.93,HUNGO,1
35.03,HUNGO,3
91.51,HUNGO,1
580.91,HUNGO,2
81.73,HUNGO,2
168.22,HUNGO,2
124.12,HUNGO,3
47.3,HUNGO,1
220.31,HUNGO,3
42.11,HUNGO,2
17.55,HUNGO,3
603.54,HUNGO,2
296.43,HUNGO,2
62.78,HUNGO,3
23.73,ISLAT,2
2.33,ISLAT,1
61.53,ISLAT,2
4.73,ISLAT,2
54.15,ISLAT,3
16.37,ISLAT,3
3.43,ISLAT,2
154.72,ISLAT,1
41.76,ISLAT,2
0.9,ISLAT,2
44.12,KOENE,3
32.35,KOENE,2
30.76,KOENE,3
4.88,KOENE,1
21.19,KOENE,2
11.57,KOENE,1
29.59,KOENE,1
8.12,KOENE,2
77.78,KOENE,2
0.56,KOENE,2
306.07,KOENE,2
170.88,KOENE,3
10.95,KOENE,3
64.86,KOENE,3
15.17,LACOR,2
0.02,LACOR,2
52.51,LACOR,1
19.79,LACOR,1
0.87,LAMAI,1
249.93,LAMAI,1
2.79,LAMAI,3
95.66,LAMAI,2
43.26,LAMAI,2
26.78,LAMAI,1
7.93,LAMAI,2
0.45,LAMAI,1
64.19,LAMAI,2
42.68,LAMAI,1
68.26,LAMAI,3
10.64,LAMAI,3
2.74,LAMAI,3
19.64,LAMAI,1
4.65,LAUGB,3
0.94,LAUGB,3
4.33,LAUGB,3
7.48,LAZYK,3
11.92,LAZYK,2
110.37,LEHMS,1
96.72,LEHMS,2
45.33,LEHMS,1
27.94,LEHMS,2
32.1,LEHMS,1
136,LEHMS,1
91.28,LEHMS,2
32.01,LEHMS,3
53.23,LEHMS,2
58.88,LEHMS,2
174.2,LEHMS,2
20.37,LEHMS,2
76.56,LEHMS,1
25.83,LEHMS,2
36.21,LEHMS,1
45.97,LETSS,2
13.73,LETSS,2
51.44,LETSS,2
90.97,LETSS,2
0.93,LILAS,1
7.99,LILAS,3
34.88,LILAS,3
1.21,LILAS,3
73.91,LILAS,2
163.97,LILAS,2
42.13,LILAS,1
102.02,LILAS,2
12.75,LILAS,1
148.61,LILAS,3
48.17,LILAS,2
84.81,LILAS,3
12.91,LILAS,1
0.12,LILAS,1
64.45,LINOD,2
65,LINOD,2
19.8,LINOD,2
45.52,LINOD,1
31.22,LINOD,1
23.6,LINOD,3
141.06,LINOD,3
34.82,LINOD,1
27.91,LINOD,1
59.28,LINOD,3
2.71,LINOD,2
158.44,LINOD,1
1.28,LONEP,2
11.65,LONEP,2
26.31,LONEP,2
24.91,LONEP,1
1.93,LONEP,1
0.56,LONEP,2
0.53,LONEP,3
12.69,LONEP,1
155.97,MAGAA,1
2.38,MAGAA,3
76.33,MAGAA,2
47.46,MAGAA,3
2.5,MAGAA,2
70.09,MAGAA,3
17.68,MAGAA,2
4.93,MAGAA,2
65.48,MAGAA,3
26.93,MAGAA,1
66.69,MAISD,2
32.45,MAISD,3
120.27,MAISD,2
6.2,MAISD,3
155.64,MAISD,1
44.84,MAISD,1
32.82,MAISD,2
20.39,MEREP,2
7.13,MEREP,3
4.07,MEREP,3
188.99,MEREP,3
91.05,MEREP,3
57.75,MEREP,2
15.66,MEREP,2
379.13,MEREP,2
7.15,MEREP,2
154.68,MEREP,1
370.61,MEREP,2
44.77,MEREP,3
52.84,MEREP,2
0.58,MORGK,3
10.22,MORGK,1
127.34,MORGK,1
125.77,MORGK,3
58.13,MORGK,2
32.07,NORTS,3
1.39,NORTS,3
4.13,NORTS,3
1.27,OCEAN,2
49.56,OCEAN,2
8.12,OCEAN,1
29.83,OCEAN,1
217.86,OCEAN,2
170.97,OLDWO,1
144.38,OLDWO,3
257.62,OLDWO,3
73.02,OLDWO,2
55.09,OLDWO,1
26.61,OLDWO,1
135.63,OLDWO,3
5.24,OLDWO,2
45.53,OLDWO,3
84.21,OLDWO,3
40.32,OLDWO,1
120.97,OTTIK,3
91.48,OTTIK,2
96.35,OTTIK,2
71.49,OTTIK,2
157.55,OTTIK,1
55.09,OTTIK,1
43.3,OTTIK,2
75.89,OTTIK,3
145.63,OTTIK,1
4.99,OTTIK,2
46,PERIC,3
69.32,PERIC,1
83.49,PERIC,2
0.4,PERIC,3
24.95,PERIC,2
53.8,PERIC,3
35.12,PICCO,3
53.05,PICCO,2
360.63,PICCO,3
96.5,PICCO,1
31.29,PICCO,2
25.22,PICCO,2
339.22,PICCO,2
5.29,PICCO,2
122.46,PICCO,3
117.33,PICCO,1
45.53,PRINI,3
73.83,PRINI,3
15.51,PRINI,2
202.24,PRINI,2
13.02,PRINI,2
60.26,PRINI,1
9.53,QUEDE,2
99.23,QUEDE,1
45.54,QUEDE,2
34.76,QUEDE,1
45.03,QUEDE,1
6.4,QUEDE,2
3.05,QUEDE,2
62.52,QUEDE,1
21.49,QUEDE,1
71.07,QUEEN,2
81.75,QUEEN,2
21.19,QUEEN,1
105.81,QUEEN,2
191.27,QUEEN,2
58.33,QUEEN,2
110.87,QUEEN,1
201.29,QUEEN,1
104.47,QUEEN,1
108.04,QUEEN,1
4.78,QUEEN,1
33.05,QUEEN,1
890.78,QUEEN,2
17.55,QUICK,1
275.79,QUICK,2
189.09,QUICK,3
46.69,QUICK,1
42.74,QUICK,3
212.98,QUICK,1
810.05,QUICK,2
183.17,QUICK,2
1.12,QUICK,2
42.7,QUICK,2
204.47,QUICK,1
1.96,QUICK,2
364.15,QUICK,1
38.51,QUICK,1
229.24,QUICK,3
48.92,QUICK,3
41.9,QUICK,1
194.67,QUICK,3
76.83,QUICK,2
1007.64,QUICK,3
297.18,QUICK,1
3.52,QUICK,1
249.06,QUICK,2
171.24,QUICK,1
76.07,QUICK,3
31.89,QUICK,2
398.36,QUICK,3
348.14,QUICK,1
3.17,RANCH,3
22.57,RANCH,2
38.82,RANCH,2
63.77,RANCH,2
90.85,RANCH,1
18.66,RATTC,2
48.29,RATTC,3
44.42,RATTC,3
174.05,RATTC,1
142.08,RATTC,3
8.53,RATTC,2
150.15,RATTC,3
13.75,RATTC,3
280.61,RATTC,3
55.12,RATTC,3
98.03,RATTC,2
58.98,RATTC,1
12.51,RATTC,1
147.26,RATTC,2
37.52,RATTC,2
708.95,RATTC,3
61.14,RATTC,2
74.16,RATTC,2
13.95,REGGC,1
22.95,REGGC,1
17.95,REGGC,3
7.45,REGGC,1
4.41,REGGC,2
29.93,REGGC,2
28.71,REGGC,2
0.48,REGGC,1
11.09,REGGC,1
59.78,REGGC,1
32.96,REGGC,2
89.9,REGGC,1
29.76,RICAR,2
14.25,RICAR,2
160.55,RICAR,1
12.76,RICAR,3
68.66,RICAR,2
47.38,RICAR,1
64.33,RICAR,2
85.8,RICAR,2
60.43,RICAR,2
38.06,RICAR,1
50.97,RICAR,3
78.85,RICSU,1
138.17,RICSU,3
137.35,RICSU,2
130.79,RICSU,3
84.74,RICSU,3
30.85,RICSU,2
232.42,RICSU,2
13.6,RICSU,2
6.19,RICSU,2
148.33,RICSU,3
12.69,ROMEY,1
2.94,ROMEY,1
32.99,ROMEY,1
8.29,ROMEY,2
7.56,ROMEY,3
13.37,SANTG,1
38.64,SANTG,3
53.05,SANTG,2
4.62,SANTG,2
72.19,SANTG,2
93.63,SANTG,2
24.49,SAVEA,3
167.05,SAVEA,1
107.46,SAVEA,3
52.41,SAVEA,2
116.13,SAVEA,1
544.08,SAVEA,2
388.98,SAVEA,3
8.19,SAVEA,1
400.81,SAVEA,2
252.49,SAVEA,3
65.1,SAVEA,1
367.63,SAVEA,3
232.55,SAVEA,1
126.56,SAVEA,3
23.1,SAVEA,3
227.22,SAVEA,2
657.54,SAVEA,2
211.22,SAVEA,3
214.27,SAVEA,1
200.24,SAVEA,1
14.62,SAVEA,3
74.58,SAVEA,1
89.16,SAVEA,3
30.09,SAVEA,1
141.16,SAVEA,1
487.57,SAVEA,3
830.75,SAVEA,2
352.69,SAVEA,2
48.77,SAVEA,2
86.53,SAVEA,2
140.26,SAVEA,1
22.21,SEVES,3
137.44,SEVES,3
178.43,SEVES,2
288.43,SEVES,3
34.86,SEVES,1
27.33,SEVES,2
143.28,SEVES,1
4.2,SEVES,1
77.63,SEVES,2
24.39,SIMOB,1
257.26,SIMOB,2
26.78,SIMOB,3
9.8,SIMOB,1
70.29,SIMOB,3
41.89,SIMOB,3
18.44,SIMOB,2
87.38,SPECD,2
2.91,SPECD,1
8.8,SPECD,2
9.19,SPECD,3
4.34,SPLIR,2
73.21,SPLIR,2
191.67,SPLIR,2
4.54,SPLIR,2
36.68,SPLIR,1
195.68,SPLIR,2
30.96,SPLIR,2
12.96,SPLIR,3
8.63,SPLIR,1
68.52,SUPRD,1
424.3,SUPRD,2
51.3,SUPRD,2
5.64,SUPRD,3
15.55,SUPRD,3
6.27,SUPRD,2
56.46,SUPRD,3
14.78,SUPRD,3
1.59,SUPRD,3
29.59,SUPRD,2
147.06,SUPRD,3
0.17,SUPRD,2
2.96,THEBI,2
237.34,THEBI,3
4.27,THEBI,3
17.52,THEBI,2
20.25,THECR,1
94.8,THECR,2
14.91,THECR,3
27.79,TOMSP,2
8.24,TOMSP,2
14.68,TOMSP,1
11.61,TOMSP,1
62.22,TOMSP,2
1.43,TOMSP,2
3.51,TORTU,2
18.56,TORTU,3
15.67,TORTU,2
218.15,TORTU,2
2.01,TORTU,2
54.42,TORTU,3
64.5,TORTU,3
13.84,TORTU,3
63.79,TORTU,2
21.18,TORTU,3
1.35,TRADH,2
46.77,TRADH,2
11.61,TRADH,1
29.78,TRADH,3
79.4,TRADH,3
35.43,TRADH,3
81.83,TRADH,2
37.6,TRAIH,2
25.41,TRAIH,2
7,TRAIH,3
299.09,VAFFE,2
69.19,VAFFE,1
65.06,VAFFE,1
2.92,VAFFE,2
27.36,VAFFE,3
55.92,VAFFE,1
27.2,VAFFE,2
65.53,VAFFE,3
13.55,VAFFE,3
176.48,VAFFE,1
145.04,VAFFE,3
9.26,VICTE,2
8.56,VICTE,2
22.11,VICTE,2
4.81,VICTE,3
49.19,VICTE,1
25.09,VICTE,2
7.23,VICTE,2
130.94,VICTE,3
41.34,VICTE,1
194.72,VICTE,3
6.01,VINET,1
1.15,VINET,2
7.79,VINET,2
32.38,VINET,3
11.08,VINET,3
47.22,WANDK,2
105.65,WANDK,1
20.6,WANDK,2
45.08,WANDK,2
41.38,WANDK,1
71.64,WANDK,2
36.71,WANDK,2
40.26,WANDK,2
23.55,WANDK,1
0.78,WANDK,2
136.54,WARTH,1
25.73,WARTH,3
29.17,WARTH,3
0.59,WARTH,3
149.49,WARTH,2
79.3,WARTH,1
7.28,WARTH,2
73.16,WARTH,3
22.72,WARTH,3
34.57,WARTH,3
180.45,WARTH,2
3.77,WARTH,2
58.59,WARTH,2
1.15,WARTH,1
19.97,WARTH,1
1.66,WELLI,2
13.72,WELLI,2
4.87,WELLI,1
55.23,WELLI,1
13.97,WELLI,2
47.59,WELLI,3
0.14,WELLI,2
13.41,WELLI,1
44.12,WELLI,1
16.34,WHITC,1
44.72,WHITC,2
162.95,WHITC,3
21.72,WHITC,1
606.19,WHITC,3
14.93,WHITC,2
15.28,WHITC,2
23.29,WHITC,2
102.55,WHITC,3
60.18,WHITC,1
81.88,WHITC,2
139.34,WHITC,3
4.56,WHITC,1
59.13,WHITC,3
22.76,WILMK,1
32.38,WILMK,3
0.75,WILMK,1
8.5,WILMK,3
38.11,WILMK,3
16.72,WILMK,1
0.82,WILMK,1
0.75,WILMK,3
80.65,WOLZA,2
8.72,WOLZA,1
20.31,WOLZA,2
3.94,WOLZA,3
26.29,WOLZA,3
12.04,WOLZA,3
23.79,WOLZA,3
